motorista_id,idade,experiencia_anos,renda_mensal_estimada,regiao_atuacao,tipo_servico_principal,data_cadastro,tem_cnh_categoria_b,tem_cnh_categoria_d,score_motorista,horas_trabalho_semana,possui_veiculo_proprio
1,37,4.7,4553.1,São Paulo - SP,Uber/99,2024-05-06,True,False,3.9,32.0,False
2,38,2.0,3175.9,Curitiba - PR,Executivo,2024-10-31,True,False,3.2,39.0,False
3,43,9.9,3167.82,São Paulo - SP,Uber/99,2024-03-12,True,False,3.9,34.0,True
4,27,1.2,5312.16,Curitiba - PR,Uber/99,2024-07-23,True,False,4.8,48.0,False
5,26,0.9,3839.41,Curitiba - PR,Uber/99,2024-01-22,True,True,3.1,63.0,False
6,35,3.2,2638.82,São Paulo - SP,Uber/99,2024-01-15,True,False,5.0,68.0,True
7,43,2.1,3506.82,São Paulo - SP,Uber/99,2024-09-25,True,False,3.6,58.0,False
8,24,0.8,10259.75,Salvador - BA,Uber/99,2024-05-18,True,True,4.0,49.0,False
9,38,0.5,3438.28,Salvador - BA,Uber/99,2024-09-28,True,False,5.0,28.0,False
10,43,3.9,3168.45,Salvador - BA,Uber/99,2024-09-04,True,False,3.7,45.0,False
11,47,1.6,10112.09,Rio de Janeiro - RJ,Uber/99,2024-05-12,True,False,4.3,46.0,True
12,36,1.2,6871.42,São Paulo - SP,Delivery,2024-07-31,True,False,4.7,35.0,True
13,21,5.5,3069.5,Brasília - DF,Turismo,2024-04-01,True,False,3.6,49.0,True
14,31,2.7,4012.64,São Paulo - SP,Uber/99,2024-07-03,True,True,3.3,47.0,True
15,36,2.3,11121.48,São Paulo - SP,Executivo,2024-06-15,True,False,4.7,57.0,False
16,34,7.6,5243.41,Curitiba - PR,Executivo,2024-07-03,True,False,4.8,51.0,True
17,30,1.2,8570.47,Rio de Janeiro - RJ,Uber/99,2024-10-24,True,False,4.8,54.0,False
18,24,0.5,3162.93,São Paulo - SP,Turismo,2024-05-24,True,False,4.4,37.0,False
19,40,2.2,3762.26,Salvador - BA,Uber/99,2024-05-27,True,False,4.9,62.0,False
20,29,0.5,11863.65,Brasília - DF,Turismo,2024-11-24,True,False,4.1,62.0,True
21,33,2.4,8240.48,São Paulo - SP,Uber/99,2024-04-06,True,True,4.3,37.0,False
22,25,1.5,2333.07,São Paulo - SP,Uber/99,2024-03-02,True,False,4.1,51.0,False
23,42,0.8,1947.24,Salvador - BA,Uber/99,2024-03-25,True,False,4.2,21.0,False
24,42,0.5,4687.14,São Paulo - SP,Uber/99,2024-04-28,True,False,5.0,43.0,False
25,23,4.7,7900.6,São Paulo - SP,Uber/99,2024-01-21,True,True,4.0,41.0,True
26,25,5.3,3497.1,São Paulo - SP,Uber/99,2024-04-15,True,False,4.5,57.0,False
27,25,2.0,1717.4,Salvador - BA,Delivery,2024-07-30,True,False,3.7,58.0,False
28,45,5.7,12000.0,Salvador - BA,Uber/99,2024-07-18,True,False,5.0,55.0,True
29,52,6.4,4478.1,Belo Horizonte - MG,Uber/99,2024-04-11,True,False,4.0,45.0,False
30,56,1.2,1500.0,Rio de Janeiro - RJ,Uber/99,2024-09-23,True,True,4.0,39.0,False
31,55,1.6,3534.77,Curitiba - PR,Delivery,2024-11-05,True,False,3.8,53.0,False
32,44,0.5,5738.36,São Paulo - SP,Uber/99,2024-03-21,True,False,4.4,47.0,False
33,38,1.8,1695.21,Rio de Janeiro - RJ,Delivery,2024-10-18,True,True,4.3,41.0,False
34,25,1.2,2374.93,São Paulo - SP,Delivery,2024-04-13,True,False,4.7,58.0,True
35,26,0.5,5517.36,Belo Horizonte - MG,Uber/99,2024-01-29,True,False,3.5,40.0,False
36,26,1.0,1500.0,Curitiba - PR,Uber/99,2024-01-06,True,False,4.3,53.0,True
37,29,1.3,3514.9,Belo Horizonte - MG,Uber/99,2024-01-17,True,True,4.4,28.0,False
38,36,2.3,5608.89,São Paulo - SP,Uber/99,2024-10-06,True,False,4.7,40.0,True
39,30,1.2,4045.78,São Paulo - SP,Uber/99,2024-05-04,True,False,4.4,59.0,True
40,44,3.0,2612.74,São Paulo - SP,Uber/99,2024-12-08,True,False,4.9,59.0,False
41,35,3.9,2443.02,Curitiba - PR,Uber/99,2024-12-04,True,False,4.5,55.0,False
42,34,0.5,5518.78,Brasília - DF,Uber/99,2024-08-12,True,False,3.8,57.0,False
43,57,0.5,12000.0,São Paulo - SP,Delivery,2024-10-06,True,False,4.1,42.0,True
44,22,1.6,1862.09,Rio de Janeiro - RJ,Executivo,2024-04-12,True,False,5.0,48.0,False
45,40,2.7,3791.69,São Paulo - SP,Uber/99,2024-02-04,True,False,4.3,58.0,False
46,22,3.0,11126.4,São Paulo - SP,Uber/99,2024-08-02,True,False,3.9,32.0,True
47,27,0.5,5836.91,Rio de Janeiro - RJ,Uber/99,2024-03-23,True,False,3.9,57.0,True
48,36,4.1,8686.11,São Paulo - SP,Uber/99,2024-10-28,True,False,4.4,24.0,False
49,30,0.5,6480.4,Rio de Janeiro - RJ,Uber/99,2024-12-10,True,False,4.1,41.0,False
50,29,4.0,3399.27,Belo Horizonte - MG,Uber/99,2024-06-05,True,False,3.7,41.0,False
51,42,3.3,7509.01,São Paulo - SP,Delivery,2024-06-24,True,False,4.1,64.0,False
52,44,0.8,4356.68,Rio de Janeiro - RJ,Uber/99,2024-09-14,True,False,4.0,44.0,True
53,31,6.7,12000.0,Curitiba - PR,Delivery,2024-10-28,True,False,4.3,37.0,False
54,25,0.5,3188.73,Belo Horizonte - MG,Delivery,2024-11-01,True,False,5.0,42.0,False
55,49,2.8,3437.94,Belo Horizonte - MG,Uber/99,2024-02-17,True,False,4.3,34.0,False
56,33,5.9,8874.94,São Paulo - SP,Uber/99,2024-07-01,True,False,3.8,51.0,True
