veiculo_id,categoria,marca,ano,valor_diario,status,quilometragem,combustivel,tem_ar_condicionado,tem_gps,capacidade_passageiros,nota_conservacao
1,Intermediário,Nissan,2021,60.14,Alugado,70903.0,Gasolina,True,True,5,3.3
2,Intermediário,Hyundai,2021,71.95,Disponível,83087.0,Flex,True,True,5,3.7
3,Popular,Ford,2021,59.62,Alugado,107542.0,Flex,False,True,5,5.0
4,Luxo,Volvo,2019,108.95,Alugado,165891.0,Diesel,False,True,5,5.0
5,Intermediário,Toyota,2024,66.72,Alugado,43015.0,Flex,True,True,5,4.8
6,Popular,Fiat,2023,51.17,Disponível,99654.0,Flex,True,True,5,3.3
7,Van,Peugeot,2018,85.16,Alugado,136131.0,Gasolina,True,True,9,3.0
8,Popular,Chevrolet,2023,56.71,Alugado,34790.0,Flex,True,False,5,5.0
9,Popular,Fiat,2018,38.97,Alugado,165347.0,Gasolina,True,True,5,4.9
10,Popular,Fiat,2021,36.41,Disponível,95246.0,Flex,True,True,5,3.7
11,Popular,Fiat,2019,39.49,Alugado,138254.0,Flex,True,False,5,3.5
12,Popular,Chevrolet,2022,58.67,Disponível,94501.0,Flex,True,False,5,4.6
13,Popular,Volkswagen,2024,71.61,Disponível,16207.0,Flex,True,True,5,4.9
14,Popular,Volkswagen,2021,47.9,Alugado,103029.0,Flex,True,True,5,3.5
15,Luxo,Audi,2020,99.16,Disponível,132975.0,Flex,False,True,5,4.3
16,Popular,Volkswagen,2023,38.38,Alugado,88099.0,Flex,True,True,5,5.0
17,Popular,Fiat,2023,53.63,Alugado,63937.0,Gasolina,True,True,5,3.5
18,Luxo,BMW,2023,131.01,Disponível,54284.0,Flex,True,True,5,2.0
19,Popular,Fiat,2019,39.6,Alugado,109883.0,Flex,True,True,5,3.8
20,Intermediário,Honda,2020,79.09,Alugado,69083.0,Flex,True,True,5,3.8
21,Popular,Volkswagen,2023,40.04,Disponível,70457.0,Flex,True,True,5,4.1
22,Popular,Ford,2019,38.13,Manutenção,145656.0,Flex,True,True,5,3.3
23,Intermediário,Nissan,2024,70.85,Alugado,51063.0,Gasolina,True,True,5,3.6
24,Popular,Chevrolet,2023,38.81,Alugado,81312.0,Flex,True,True,5,4.0
25,Popular,Chevrolet,2022,51.43,Disponível,51690.0,Flex,True,True,5,3.7
26,Popular,Volkswagen,2020,30.0,Alugado,102351.0,Flex,True,True,5,4.6
27,Popular,Ford,2019,36.98,Alugado,98961.0,Flex,True,True,5,3.6
28,Popular,Chevrolet,2024,58.98,Alugado,71814.0,Flex,True,True,5,4.6
29,Popular,Fiat,2021,58.6,Alugado,123536.0,Flex,False,False,5,2.5
30,Popular,Chevrolet,2018,40.19,Alugado,154602.0,Flex,True,True,5,4.4
31,Popular,Fiat,2022,45.73,Manutenção,135092.0,Flex,True,True,5,4.9
32,Popular,Volkswagen,2021,35.8,Alugado,87761.0,Diesel,True,True,5,4.1
33,Popular,Fiat,2019,49.47,Disponível,111667.0,Gasolina,False,True,5,3.4
34,Intermediário,Honda,2018,40.5,Disponível,152537.0,Flex,True,True,5,4.0
35,Intermediário,Nissan,2024,86.59,Disponível,51736.0,Diesel,False,False,5,3.6
36,Popular,Ford,2020,31.4,Alugado,103339.0,Flex,True,True,5,5.0
37,Intermediário,Nissan,2019,65.65,Manutenção,102892.0,Flex,True,True,5,4.1
38,Popular,Chevrolet,2018,32.34,Alugado,142146.0,Flex,True,True,5,3.5
39,Popular,Fiat,2018,41.04,Alugado,126251.0,Gasolina,True,True,5,5.0
40,Intermediário,Honda,2020,51.76,Alugado,132887.0,Flex,True,True,5,4.7
41,Intermediário,Honda,2021,75.12,Alugado,100776.0,Flex,False,True,5,2.1
42,Popular,Volkswagen,2020,47.24,Manutenção,131774.0,Gasolina,False,True,5,4.0
43,Popular,Ford,2018,34.87,Disponível,129393.0,Gasolina,False,True,5,2.5
44,Luxo,BMW,2024,101.85,Disponível,37124.0,Flex,True,True,5,4.3
45,Popular,Chevrolet,2019,40.06,Manutenção,144237.0,Flex,True,False,5,2.5
46,Popular,Volkswagen,2021,44.1,Alugado,90265.0,Flex,True,True,5,5.0
47,Intermediário,Honda,2023,51.75,Alugado,53126.0,Flex,True,False,5,3.5
48,Popular,Chevrolet,2021,32.78,Alugado,59968.0,Flex,True,True,5,4.3
49,Luxo,BMW,2024,96.0,Disponível,12621.0,Flex,True,True,5,2.9
50,Luxo,Mercedes,2021,111.07,Disponível,125178.0,Gasolina,True,True,5,3.6
51,Popular,Volkswagen,2020,53.92,Disponível,123316.0,Flex,True,True,5,5.0
52,Popular,Ford,2020,47.02,Manutenção,87446.0,Flex,True,True,5,4.9
53,Intermediário,Hyundai,2019,58.57,Alugado,148569.0,Gasolina,True,True,5,3.4
54,Popular,Fiat,2019,38.08,Alugado,124373.0,Flex,True,True,5,3.6
55,Popular,Fiat,2023,62.54,Alugado,81650.0,Flex,True,True,5,5.0
56,Luxo,Audi,2019,124.19,Alugado,82675.0,Flex,True,False,5,5.0
57,Popular,Volkswagen,2021,43.49,Manutenção,120203.0,Gasolina,True,True,5,4.2
58,Popular,Fiat,2023,55.15,Alugado,69278.0,Flex,True,True,5,4.0
59,Luxo,Mercedes,2022,184.02,Alugado,110833.0,Flex,True,True,5,2.8
60,Popular,Ford,2020,40.63,Alugado,119680.0,Flex,True,False,5,4.7
61,Popular,Fiat,2020,36.01,Alugado,128635.0,Flex,True,True,5,4.0
62,Intermediário,Hyundai,2021,73.32,Alugado,77887.0,Gasolina,True,True,5,5.0
63,Popular,Fiat,2022,51.21,Alugado,137280.0,Flex,True,True,5,3.5
64,Luxo,Mercedes,2020,106.99,Alugado,79486.0,Gasolina,True,True,5,4.3
65,Intermediário,Honda,2023,82.04,Alugado,80144.0,Gasolina,True,True,5,3.9
66,Popular,Ford,2023,36.07,Alugado,73618.0,Flex,True,True,5,3.7
67,Popular,Fiat,2023,41.66,Alugado,98453.0,Flex,True,True,5,3.7
68,Popular,Fiat,2024,51.98,Disponível,33109.0,Flex,True,False,5,5.0
69,Popular,Fiat,2023,47.09,Disponível,73083.0,Flex,False,True,5,2.8
70,Intermediário,Honda,2022,66.21,Alugado,119291.0,Flex,True,False,5,3.7
71,Intermediário,Toyota,2022,52.21,Alugado,64611.0,Flex,True,True,5,5.0
72,Intermediário,Honda,2021,77.8,Alugado,89657.0,Flex,True,True,5,3.3
73,Luxo,BMW,2024,147.1,Alugado,70839.0,Gasolina,False,True,5,3.5
74,Popular,Chevrolet,2022,58.73,Alugado,77574.0,Flex,True,True,5,3.4
75,Intermediário,Toyota,2024,87.66,Manutenção,77942.0,Flex,False,True,5,3.8
76,Popular,Ford,2021,54.67,Alugado,106040.0,Flex,True,True,5,2.2
77,Intermediário,Nissan,2023,93.51,Alugado,33639.0,Gasolina,True,True,5,5.0
78,Intermediário,Nissan,2022,70.3,Alugado,67492.0,Flex,True,True,5,5.0
79,Intermediário,Hyundai,2022,76.05,Alugado,98435.0,Gasolina,True,True,5,4.7
80,Popular,Ford,2024,39.62,Alugado,54775.0,Flex,True,True,5,3.5
81,Popular,Chevrolet,2021,44.04,Alugado,116800.0,Gasolina,False,False,5,4.9
82,Popular,Ford,2019,52.52,Manutenção,138478.0,Gasolina,True,True,5,3.3
83,Intermediário,Nissan,2023,82.53,Alugado,79692.0,Flex,True,True,5,4.6
84,Popular,Ford,2023,57.19,Alugado,56060.0,Flex,True,True,5,4.5
85,Intermediário,Nissan,2020,56.77,Alugado,96503.0,Flex,True,True,5,4.6
86,Popular,Chevrolet,2022,52.51,Disponível,104893.0,Flex,True,True,5,5.0
87,Luxo,Volvo,2024,96.0,Disponível,60196.0,Flex,False,True,5,3.7
88,Intermediário,Toyota,2024,65.5,Alugado,40154.0,Flex,True,True,5,3.4
89,Popular,Fiat,2021,55.15,Alugado,110687.0,Flex,True,True,5,3.4
90,Intermediário,Toyota,2022,68.64,Alugado,93254.0,Gasolina,True,True,5,5.0
91,Intermediário,Honda,2020,51.78,Alugado,103231.0,Flex,True,True,5,2.4
92,Popular,Chevrolet,2020,38.89,Disponível,96415.0,Gasolina,True,True,5,4.9
93,Popular,Volkswagen,2023,65.22,Alugado,75677.0,Gasolina,True,False,5,2.8
94,Popular,Fiat,2020,34.56,Alugado,97595.0,Flex,False,True,5,5.0
95,Intermediário,Nissan,2022,86.01,Alugado,61077.0,Flex,True,True,5,3.5
96,Intermediário,Honda,2023,68.98,Manutenção,35618.0,Flex,True,True,5,5.0
97,Luxo,Volvo,2021,109.14,Disponível,84186.0,Flex,True,True,5,4.7
98,Intermediário,Hyundai,2021,57.01,Alugado,104845.0,Diesel,True,False,5,3.4
99,Popular,Fiat,2024,44.4,Disponível,45496.0,Flex,True,True,5,2.8
100,Intermediário,Nissan,2022,57.38,Disponível,63433.0,Flex,False,True,5,3.8
101,Popular,Fiat,2022,51.68,Alugado,64039.0,Gasolina,True,False,5,3.3
102,Popular,Fiat,2024,52.06,Alugado,30859.0,Flex,True,False,5,4.0
103,Popular,Fiat,2019,51.84,Alugado,106907.0,Flex,False,True,5,3.9
104,Popular,Volkswagen,2020,36.02,Alugado,107656.0,Flex,True,True,5,5.0
105,Intermediário,Nissan,2023,66.18,Disponível,61959.0,Flex,True,True,5,2.9
106,Intermediário,Honda,2021,63.29,Disponível,61560.0,Flex,True,True,5,4.5
107,Intermediário,Toyota,2023,84.65,Alugado,57663.0,Flex,True,True,5,3.6
108,Popular,Fiat,2020,46.57,Alugado,133983.0,Gasolina,True,True,5,2.8
109,Intermediário,Honda,2019,75.59,Alugado,154978.0,Flex,True,True,5,2.5
110,Intermediário,Toyota,2024,96.24,Alugado,44292.0,Flex,True,True,5,4.0
111,Popular,Fiat,2024,70.05,Disponível,52216.0,Flex,True,True,5,3.9
112,Intermediário,Hyundai,2020,48.21,Alugado,108116.0,Flex,True,True,5,5.0
113,Van,Renault,2019,90.07,Alugado,104570.0,Flex,True,True,7,5.0
114,Intermediário,Hyundai,2021,57.22,Alugado,82030.0,Gasolina,True,True,5,3.1
115,Popular,Ford,2019,40.81,Disponível,109921.0,Flex,True,True,5,5.0
116,Popular,Volkswagen,2022,50.4,Alugado,63288.0,Flex,True,True,5,4.2
117,Popular,Fiat,2024,61.22,Disponível,65182.0,Flex,True,True,5,2.2
118,Popular,Chevrolet,2021,60.0,Alugado,99678.0,Flex,True,True,5,3.7
119,Popular,Ford,2022,60.94,Alugado,64980.0,Gasolina,True,True,5,5.0
120,Intermediário,Toyota,2023,69.89,Alugado,20704.0,Gasolina,True,True,5,5.0
121,Intermediário,Toyota,2018,60.51,Disponível,167970.0,Gasolina,True,True,5,3.9
